City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,0,Port Lincoln,AU,1667869642,-34.7333,135.8667,79.18,41,100,15.59,overcast clouds
1,1,Mataura,NZ,1667869642,-46.1927,168.8643,65.48,38,71,3.87,broken clouds
2,2,San Lorenzo,PY,1667869391,-25.3333,-57.5333,74.34,43,0,6.91,clear sky
3,3,Norman Wells,CA,1667869643,65.282,-126.8329,3.15,75,8,8.12,clear sky
4,4,Atagay,RU,1667869644,55.1033,99.3875,22.93,84,100,3.76,overcast clouds
5,5,Hermanus,ZA,1667869644,-34.4187,19.2345,59.23,87,13,6.91,few clouds
6,6,Kazachinskoye,RU,1667869644,57.6953,93.2761,22.28,96,95,4.12,overcast clouds
7,7,Vaini,TO,1667869645,-21.2,-175.2,75.7,75,20,12.24,light rain
8,8,Puerto Ayora,EC,1667869619,-0.7393,-90.3518,67.55,85,91,4.0,overcast clouds
9,9,Avarua,CK,1667869646,-21.2078,-159.775,77.05,65,75,6.91,broken clouds
10,10,Qaqortoq,GL,1667869646,60.7167,-46.0333,25.25,85,100,5.44,overcast clouds
11,11,Coyhaique,CL,1667869395,-45.5752,-72.0662,56.01,87,0,5.75,clear sky
12,12,Lamar,US,1667869647,33.6668,-95.5836,70.36,96,100,10.36,light rain
13,13,Ushuaia,AR,1667869647,-54.8,-68.3,56.86,54,75,17.27,broken clouds
14,14,Kruisfontein,ZA,1667869648,-34.0033,24.7314,56.61,84,93,5.35,overcast clouds
15,15,Bandarbeyla,SO,1667869648,9.4942,50.8122,77.41,76,2,3.91,clear sky
16,16,Henties Bay,,1667869649,-22.116,14.2845,61.38,90,2,4.25,clear sky
17,17,Ivanteyevka,RU,1667869649,55.9711,37.9208,37.35,95,100,8.41,overcast clouds
18,18,Cabo San Lucas,MX,1667869451,22.8909,-109.9124,78.1,68,20,11.5,few clouds
19,19,Ormara,PK,1667869650,25.2088,64.6357,78.12,63,0,3.44,clear sky
20,20,Jamestown,US,1667869651,42.097,-79.2353,46.02,64,0,9.22,clear sky
21,21,Gizo Government Station,SB,1667869651,-8.103,156.8419,84.04,72,88,9.22,light rain
22,22,Rikitea,PF,1667869652,-23.1203,-134.9692,73.65,92,100,18.95,light rain
23,23,Kapaa,US,1667869652,22.0752,-159.319,84.18,72,75,12.66,broken clouds
24,24,Luena,AO,1667869653,-11.7833,19.9167,63.68,99,100,3.31,light rain
25,25,Busselton,AU,1667869653,-33.65,115.3333,63.25,65,97,9.8,overcast clouds
26,26,Albany,US,1667869654,42.6001,-73.9662,51.64,51,5,11.12,clear sky
27,27,Paracatu,BR,1667869654,-17.2222,-46.8747,66.87,84,33,1.81,scattered clouds
28,28,Dwārka,IN,1667869654,22.2394,68.9678,77.22,61,0,8.05,clear sky
29,29,Touros,BR,1667869655,-5.1989,-35.4608,78.12,77,100,10.74,overcast clouds
30,30,Carnarvon,AU,1667869655,-24.8667,113.6333,69.44,58,0,13.94,clear sky
31,31,Tocopilla,CL,1667869656,-22.092,-70.1979,64.0,69,5,3.13,clear sky
32,32,Khovd,MN,1667869656,48.0056,91.6419,34.59,45,99,9.8,overcast clouds
33,33,Thompson,CA,1667869657,55.7435,-97.8558,-6.02,99,17,1.9,few clouds
34,34,Inhambane,MZ,1667869657,-23.865,35.3833,75.65,86,31,8.25,scattered clouds
35,35,Ratnagiri,IN,1667869555,16.9833,73.3,73.8,54,61,6.85,broken clouds
36,36,Saint George,US,1667869552,37.1041,-113.5841,66.94,35,0,13.8,clear sky
37,37,Yellowknife,CA,1667869658,62.456,-114.3525,3.36,96,100,1.14,overcast clouds
38,38,Bluff,NZ,1667869659,-46.6,168.3333,65.8,67,87,6.85,overcast clouds
39,39,Mamakan,RU,1667869659,57.8161,114.0028,25.16,86,100,6.17,overcast clouds
40,40,Turukhansk,RU,1667869660,65.8167,87.9833,17.8,96,100,11.52,light snow
41,41,Gdańsk,PL,1667869660,54.3521,18.6464,51.08,95,0,8.05,clear sky
42,42,Ixtapa,MX,1667869661,20.7,-105.2,79.83,69,0,5.75,clear sky
43,43,Castro,BR,1667869661,-24.7911,-50.0119,50.13,95,0,4.88,clear sky
44,44,Denpasar,ID,1667869662,-8.65,115.2167,82.06,83,20,2.3,few clouds
45,45,Kidal,ML,1667869662,18.4411,1.4078,72.73,16,73,10.42,broken clouds
46,46,Pisco,PE,1667869662,-13.7,-76.2167,62.65,82,0,10.36,clear sky
47,47,Kapit,MY,1667869693,2.0167,112.9333,78.01,92,90,0.6,overcast clouds
48,48,Guerrero Negro,MX,1667869693,27.9769,-114.0611,66.38,73,66,13.15,broken clouds
49,49,Ucluelet,CA,1667869694,48.9329,-125.5528,40.08,78,59,14.79,broken clouds
50,50,Barcelos,PT,1667869694,41.5388,-8.6151,62.74,93,88,11.48,overcast clouds
51,51,Rybnoye,RU,1667869695,54.7256,39.5119,37.06,88,100,9.62,overcast clouds
52,52,Mar Del Plata,AR,1667869696,-38.0023,-57.5575,63.09,88,0,14.0,clear sky
53,53,Vacaria,BR,1667869403,-28.5122,-50.9339,45.25,97,1,7.56,clear sky
54,54,São José Da Coroa Grande,BR,1667869696,-8.8978,-35.1478,76.06,81,17,2.19,few clouds
55,55,Fortuna,US,1667869697,40.5982,-124.1573,47.66,94,75,13.8,broken clouds
56,56,Husavik,IS,1667869697,66.0449,-17.3389,39.72,90,100,10.16,overcast clouds
57,57,Butaritari,KI,1667869698,3.0707,172.7902,80.37,75,29,6.4,scattered clouds
58,58,Illapel,CL,1667869699,-31.6308,-71.1653,62.01,77,56,2.71,broken clouds
59,59,Saskylakh,RU,1667869699,71.9167,114.0833,-23.8,99,43,5.5,scattered clouds
60,60,Marystown,CA,1667869640,47.1666,-55.1483,56.16,94,100,26.75,light rain
61,61,Sola,VU,1667869700,-13.8833,167.55,78.57,83,100,15.03,overcast clouds
62,62,Alindao,CF,1667869700,5.0267,21.2088,70.72,95,100,2.95,overcast clouds
63,63,Beatrice,US,1667869701,40.2681,-96.747,46.27,42,0,5.75,clear sky
64,64,George Town,MY,1667869414,5.4112,100.3354,84.24,82,20,3.44,few clouds
65,65,San Cristobal,VE,1667869702,7.7669,-72.225,71.78,96,99,2.17,overcast clouds
66,66,Raudeberg,NO,1667869702,61.9875,5.1352,45.27,67,29,10.6,scattered clouds
67,67,Techiman,GH,1667869703,7.5862,-1.9414,72.7,64,97,0.31,overcast clouds
68,68,Birsk,RU,1667869703,55.4211,55.5428,27.63,94,100,6.87,overcast clouds
69,69,Provideniya,RU,1667869704,64.3833,-173.3,32.36,74,100,22.37,snow
70,70,Qaanaaq,GL,1667869704,77.484,-69.3632,-0.65,97,100,4.99,overcast clouds
71,71,Atar,MR,1667869705,20.5169,-13.0499,79.07,17,96,3.69,overcast clouds
72,72,Hithadhoo,MV,1667869705,-0.6,73.0833,81.95,76,13,18.81,few clouds
73,73,Evensk,RU,1667869706,61.95,159.2333,23.29,70,100,7.31,overcast clouds
74,74,Hohhot,CN,1667869706,40.8106,111.6522,40.08,33,45,2.48,scattered clouds
75,75,Barrow,US,1667869706,71.2906,-156.7887,24.82,80,100,23.02,overcast clouds
76,76,Mandalgovi,MN,1667869689,45.7625,106.2708,33.13,36,99,8.75,overcast clouds
77,77,Ostrovnoy,RU,1667869707,68.0531,39.5131,27.52,94,54,5.03,broken clouds
78,78,Naryan-Mar,RU,1667869708,67.6713,53.087,32.77,98,100,11.16,light snow
79,79,Launceston,AU,1667869708,-41.45,147.1667,76.6,40,14,10.36,few clouds
80,80,Waliso,ET,1667869709,8.5333,37.9833,53.8,52,63,7.96,broken clouds
81,81,Lata,PT,1667869709,40.1629,-8.3327,60.93,95,99,6.76,overcast clouds
82,82,Souillac,MU,1667869710,-20.5167,57.5167,72.05,81,67,8.66,broken clouds
83,83,Hilo,US,1667869710,19.7297,-155.09,82.13,76,40,11.5,scattered clouds
84,84,Logan,US,1667869548,41.7355,-111.8344,52.14,83,100,14.97,overcast clouds
85,85,Humberto De Campos,BR,1667869711,-2.5983,-43.4611,75.16,94,98,5.44,overcast clouds
86,86,Bengkulu,ID,1667869712,-3.8004,102.2655,75.25,89,100,2.51,overcast clouds
87,87,Hobart,AU,1667869488,-42.8794,147.3294,77.22,64,0,12.66,clear sky
88,88,Jiblah,YE,1667869712,13.9216,44.1467,58.55,79,0,2.73,clear sky
89,89,Lüderitz,,1667869713,-26.6481,15.1594,61.0,89,81,9.42,broken clouds
90,90,Andenes,NO,1667869713,69.3143,16.1194,40.98,70,20,18.41,few clouds
91,91,Tripoli,LY,1667869714,32.8752,13.1875,67.17,60,0,1.77,clear sky
92,92,Clyde River,CA,1667869625,70.4692,-68.5914,4.78,84,100,7.02,overcast clouds
93,93,Takoradze,GH,1667869745,4.8845,-1.7554,78.26,85,100,5.55,light rain
94,94,Tasiilaq,GL,1667869745,65.6145,-37.6368,30.07,97,100,5.3,light snow
95,95,Samarai,PG,1667869746,-10.6167,150.6667,84.15,69,33,7.7,scattered clouds
96,96,Mitú,CO,1667869746,1.1983,-70.1733,76.37,83,100,0.22,light rain
97,97,Ancud,CL,1667869747,-41.8697,-73.8203,53.69,95,99,3.0,overcast clouds
98,98,Valparaíso,CL,1667869747,-33.0393,-71.6273,56.84,82,100,4.61,overcast clouds
99,99,Yulara,AU,1667869748,-25.2406,130.9889,92.34,21,89,16.78,overcast clouds
100,100,Haines Junction,CA,1667869748,60.7522,-137.5108,4.17,92,90,0.89,overcast clouds
101,101,Atuona,PF,1667869749,-9.8,-139.0333,77.16,68,100,14.18,overcast clouds
102,102,Los Llanos De Aridane,ES,1667869749,28.6585,-17.9182,65.95,45,0,8.05,clear sky
103,103,Arraial Do Cabo,BR,1667869750,-22.9661,-42.0278,68.38,77,100,4.18,overcast clouds
104,104,Antofagasta,CL,1667869751,-23.65,-70.4,60.08,79,46,3.31,scattered clouds
105,105,Port Elizabeth,ZA,1667869509,-33.918,25.5701,62.31,90,100,7.0,overcast clouds
106,106,Kashiba,JP,1667869751,34.5415,135.6988,65.01,63,0,4.47,clear sky
107,107,Longyearbyen,SJ,1667869752,78.2186,15.6401,24.64,74,75,9.22,broken clouds
108,108,Margate,GB,1667869752,51.3813,1.3862,59.31,81,100,8.99,overcast clouds
109,109,Assiut,EG,1667869753,27.181,31.1837,65.12,54,100,6.15,overcast clouds
110,110,Naze,JP,1667869753,28.3667,129.4833,69.08,59,2,10.16,clear sky
111,111,Tomatlán,MX,1667869754,19.9333,-105.25,72.79,90,0,2.91,clear sky
112,112,Bethel,US,1667869754,41.3712,-73.414,66.76,22,0,9.22,clear sky
113,113,Muros,ES,1667869755,42.7762,-9.0603,58.68,83,100,17.85,overcast clouds
114,114,Vostok,RU,1667869755,46.4856,135.8833,33.49,62,28,5.86,scattered clouds
115,115,Havre-St-Pierre,CA,1667869756,50.2334,-63.5986,44.33,69,15,26.4,few clouds
116,116,Manicoré,BR,1667869756,-5.8092,-61.3003,74.34,94,64,2.39,broken clouds
117,117,Snåase,NO,1667869757,64.2457,12.3778,33.21,86,15,3.78,few clouds
118,118,Ribeira Grande,PT,1667869757,38.5167,-28.7,63.77,70,100,4.0,overcast clouds
119,119,Lucapa,AO,1667869458,-8.4192,20.7447,66.34,99,100,2.1,heavy intensity rain
120,120,Chui,UY,1667869758,-33.6971,-53.4616,58.69,83,11,9.44,few clouds
121,121,Seydişehir,TR,1667869759,37.4193,31.8453,45.39,79,47,4.65,scattered clouds
122,122,Hasaki,JP,1667869759,35.7333,140.8333,66.29,54,0,14.03,clear sky
123,123,Saint Paul Harbor,US,1667869760,57.79,-152.4072,36.91,87,100,17.27,light rain
124,124,Hamilton,US,1667869585,39.1834,-84.5333,58.05,35,75,10.36,broken clouds
125,125,Saint-Philippe,RE,1667869760,-21.3585,55.7679,71.19,76,37,6.8,scattered clouds
126,126,Yei,SS,1667869761,4.095,30.6779,65.73,95,100,0.76,light rain
127,127,Anadyr,RU,1667869761,64.75,177.4833,27.1,92,75,15.66,mist
128,128,Lompoc,US,1667869762,34.6391,-120.4579,57.78,80,0,4.61,clear sky
129,129,Myanaung,MM,1667869762,18.2833,95.3167,71.67,82,80,6.11,broken clouds
130,130,New Norfolk,AU,1667869763,-42.7826,147.0587,76.87,37,20,1.01,few clouds
131,131,Cape Town,ZA,1667869503,-33.9258,18.4232,61.12,87,100,2.3,overcast clouds
132,132,Lebu,CL,1667869761,-37.6167,-73.65,53.76,84,100,9.55,overcast clouds
133,133,Cidreira,BR,1667869765,-30.1811,-50.2056,61.65,82,12,11.79,few clouds
134,134,Port Hedland,AU,1667869765,-20.3167,118.5667,78.85,38,0,14.97,clear sky
135,135,Punta Arenas,CL,1667869766,-53.15,-70.9167,53.71,71,0,17.27,clear sky
136,136,Saint Anthony,US,1667869766,45.0205,-93.218,35.82,66,0,6.91,clear sky
137,137,Nikolskoye,RU,1667869766,59.7035,30.7861,39.09,93,100,8.81,overcast clouds
138,138,Australind,AU,1667869767,-33.2667,115.7167,61.52,73,100,10.63,overcast clouds
139,139,Córdoba,AR,1667869649,-31.4135,-64.1811,73.76,39,0,5.75,clear sky
140,140,Sirte,LY,1667869768,31.2089,16.5887,69.37,67,14,7.14,few clouds
141,141,Antalaha,MG,1667869798,-14.9003,50.2788,67.8,86,31,5.3,scattered clouds
142,142,Bobo-Dioulasso,BF,1667869799,11.1771,-4.2979,71.69,26,16,4.16,few clouds
143,143,Simacota,CO,1667869799,6.4429,-73.3369,66.67,97,86,0.31,overcast clouds
144,144,Bredasdorp,ZA,1667869775,-34.5322,20.0403,56.57,92,88,5.82,overcast clouds
145,145,Faanui,PF,1667869800,-16.4833,-151.75,78.85,73,21,6.64,few clouds
146,146,Palekastro,GR,1667869800,35.2,26.25,64.62,75,0,26.55,clear sky
147,147,Vaitape,PF,1667869801,-16.5167,-151.75,78.82,73,21,6.69,few clouds
148,148,Dikson,RU,1667869802,73.5069,80.5464,5.56,95,100,7.94,overcast clouds
149,149,Verāval,IN,1667869803,20.9,70.3667,75.61,63,0,10.74,clear sky
150,150,Hambantota,LK,1667869803,6.1241,81.1185,77.79,82,100,2.91,heavy intensity rain
151,151,Chhor,PK,1667869804,25.5167,69.7667,71.11,41,1,5.19,clear sky
152,152,Pevek,RU,1667869804,69.7008,170.3133,1.42,95,15,1.3,few clouds
153,153,Ponta Do Sol,PT,1667869805,32.6667,-17.1,68.72,86,94,3.76,overcast clouds
154,154,Havelock,US,1667869806,34.8791,-76.9013,71.94,88,40,1.01,scattered clouds
155,155,Daru,PG,1667869807,-9.0763,143.2092,79.39,86,100,4.41,overcast clouds
156,156,Tiksi,RU,1667869807,71.6872,128.8694,0.81,91,100,17.83,overcast clouds
157,157,Namatanai,PG,1667869808,-3.6667,152.4333,83.77,72,98,5.39,light rain
158,158,Ambulu,ID,1667869809,-8.345,113.6058,81.14,79,94,0.92,overcast clouds
159,159,Puerto Escondido,MX,1667869809,15.85,-97.0667,83.23,57,40,3.44,scattered clouds
160,160,Wooster,US,1667869810,40.8051,-81.9351,49.28,55,0,8.05,clear sky
161,161,Troitskoye,RU,1667869811,52.9821,84.6757,28.69,77,94,4.43,overcast clouds
162,162,Dunedin,NZ,1667869811,-45.8742,170.5036,59.31,71,83,10.83,broken clouds
